,Teal_Account,Ads_Account,similarity_score
57992,BancoBPI,BancoBVBR,71
143846,MolekuleInc,MolekuleUS,76
215396,WestdeutscheLotterieGmbHCoOHG,WestdeutscheLotterieGmbHCoOHGDE,97
474519,PorscheAG,PorscheIT,78
477175,PorscheAG,PorscheES,78
477666,PorscheAG,PorscheCA,89
485432,PorscheAG,PorscheUK,78
485433,PorscheAG,PorscheAGDE,90
485435,PorscheAG,PorscheUS,78
514225,AnimalFriendsInsurance,AnimalFriendsInsuranceUK,96
578113,cosnovaGmbH,CosnovaGmbHDE,83
643781,VGWHoldingsLimited,SuntoryHoldingsLimited,75
793495,Argenta,ArenaDE,71
793496,Argenta,ArenaIT,71
839106,GroupeBPCE,GroupeSEBES,76
840840,GroupeBPCE,GroupeSEBCA,76
841853,GroupeBPCE,GroupeSebBE,76
842584,GroupeBPCE,GroupeSEBJP,76
844943,GroupeBPCE,GroheBE,71
848650,GroupeBPCE,GroupePSADE,76
848651,GroupeBPCE,GroupeSEBDE,76
916427,ECGHolding,CGolden,71
997965,JetSmartSpA,PetSmartCA,76
1020051,ABCBenefitsCorporation,AcmeUnitedCorporationUS,71
1020167,ABCBenefitsCorporation,AlenCorporationUS,72
1020807,ABCBenefitsCorporation,BenesseCorporationJP,76
1062605,GuzmanyGomezHoldingsLimited,SuntoryHoldingsLimited,73
1076371,TelecommunicationSE,JupiterTelecommunicationsJP,74
1094289,LautsprecherTeufelGmbH,LautsprecherTeufelGmbHDE,96
1113708,UnipolSaiAssicurazioniSpA,PrimaAssicurazioniSpAIT,75
1137723,MonashUniversity,SyracuseUniversity,71
1142328,MonashUniversity,AlgomaUniversityCA,71
1147097,MonashUniversity,ManipalUniversityUAE,72
1147524,MonashUniversity,MurdochUniversityAU,74
1176939,AGLEnergyLimited,AGLEnergyLimitedAU,94
1399744,UniversityofSydney,UniversityofWesternSydneyAU,80
1403092,UniversityofSydney,UniversityofSanDiegoUS,75
1412391,UniversityofSydney,UniversityofSiliconValleyUS,71
